Date,Consumption
2010-09-19,110636.0593
2010-09-20,110630.8678
2010-09-21,110274.9755
2010-09-22,109885.0112
2010-09-23,109388.6947
2010-09-24,108612.9859
2010-09-25,107880.1208
2010-09-26,106962.5826
2010-09-27,106950.0618
2010-09-28,106665.1892
2010-09-29,105993.4904
2010-09-30,105413.7741
2010-10-01,104717.296
2010-10-02,103974.989
2010-10-03,103976.0058
2010-10-04,103980.0843
2010-10-05,103194.478
2010-10-06,102621.891
2010-10-07,102434.0358
2010-10-08,102045.142
2010-10-09,101786.3541
2010-10-10,101772.4342
2010-10-11,101776.3308
2010-10-12,101772.8196
2010-10-13,101619.9115
2010-10-14,101376.9848
2010-10-15,101050.985
2010-10-16,100963.0753
2010-10-17,100959.7748
2010-10-18,100958.1812
2010-10-19,100528.1244
2010-10-20,100342.3072
2010-10-21,99982.56441
2010-10-22,99494.96052
2010-10-23,99241.08839
2010-10-24,99219.6007
2010-10-25,99223.09488
2010-10-26,99069.63324
2010-10-27,99313.02121
2010-10-28,99410.76706
2010-10-29,99327.01721
2010-10-30,99175.59052
2010-10-31,99176.04721
2010-11-01,99176.85839
2010-11-02,99002.1717
2010-11-03,98636.32203
2010-11-04,98476.69497
2010-11-05,98774.0824
2010-11-06,98502.98993
2010-11-07,98502.36335
2010-11-08,98501.71126
2010-11-09,98447.81693
2010-11-10,98373.82126
2010-11-11,98277.25708
2010-11-12,98210.15541
2010-11-13,97832.52634
2010-11-14,97835.81699
2010-11-15,97839.12871
2010-11-16,97823.26301
2010-11-17,97729.17768
2010-11-18,97508.60044
2010-11-19,97116.64381
2010-11-20,97034.64402
2010-11-21,97032.90827
2010-11-22,97031.49708
2010-11-23,96907.97257
2010-11-24,96731.98008
2010-11-25,96586.16567
2010-11-26,96307.94521
2010-11-27,96635.85275
2010-11-28,96611.56123
2010-11-29,96617.88152
2010-11-30,96320.85609
2010-12-01,95874.1667
2010-12-02,95349.61946
2010-12-03,95089.67355
2010-12-04,95001.72602
2010-12-05,95005.5231
2010-12-06,95002.72255
2010-12-07,94976.16965
2010-12-08,94980.02015
2010-12-09,95043.64528
2010-12-10,95257.10646
2010-12-11,95038.37369
2010-12-12,95042.52292
2010-12-13,95046.34761
2010-12-14,94994.91003
2010-12-15,94921.30078
2010-12-16,94842.7422
2010-12-17,94628.08227
2010-12-18,93957.22518
2010-12-19,93959.15638
2010-12-20,93960.53587
2010-12-21,93959.93991
2010-12-22,93923.43935
2010-12-23,93874.58435
2010-12-24,93545.3153
2010-12-25,93255.4936
2010-12-26,93251.14644
2010-12-27,93251.77131
2010-12-28,93250.45901
2010-12-29,93251.90761
2010-12-30,93219.97644
2010-12-31,93285.25411
2011-01-01,93482.11282
2011-01-02,93482.73302
2011-01-03,93482.93704
2011-01-04,93483.36737
2011-01-05,93592.58897
2011-01-06,93865.27396
2011-01-07,93360.21583
2011-01-08,93327.86945
2011-01-09,93307.85277
2011-01-10,93309.59943
2011-01-11,93346.78278
2011-01-12,93354.70259
2011-01-13,93424.48855
2011-01-14,93479.63693
2011-01-15,93690.56095
2011-01-16,93682.60513
2011-01-17,93680.87036
2011-01-18,93757.73787
2011-01-19,93811.421
2011-01-20,93936.8304
2011-01-21,94329.40979
2011-01-22,94326.92436
2011-01-23,94325.80691
2011-01-24,94327.05756
2011-01-25,94206.06689
2011-01-26,94201.64911
2011-01-27,94882.91289
2011-01-28,95076.87038
2011-01-29,95022.18466
2011-01-30,95016.1608
2011-01-31,95001.77659
2011-02-01,94957.09469
2011-02-02,94827.4529
2011-02-03,94695.83019
2011-02-04,94629.75379
2011-02-05,93957.80365
2011-02-06,93961.01368
2011-02-07,93961.64588
2011-02-08,93912.63832
2011-02-09,93818.29869
2011-02-10,93739.00629
2011-02-11,93680.02958
2011-02-12,93691.94597
2011-02-13,93691.55484
2011-02-14,93691.84109
2011-02-15,93561.4639
2011-02-16,93500.64418
2011-02-17,93537.47447
2011-02-18,93469.0474
2011-02-19,93463.20187
2011-02-20,93456.89501
2011-02-21,93440.03449
2011-02-22,93428.28895
2011-02-23,93757.13409
2011-02-24,93658.64208
2011-02-25,93431.24493
2011-02-26,93287.28763
2011-02-27,93294.57138
2011-02-28,93293.46665
2011-03-01,93239.57475
2011-03-02,93186.32278
2011-03-03,93157.56045
2011-03-04,93168.13729
2011-03-05,93273.5269
2011-03-06,93274.94974
2011-03-07,93272.83096
2011-03-08,93373.90372
2011-03-09,93324.34657
2011-03-10,93340.45325
2011-03-11,93283.66017
2011-03-12,93324.02738
2011-03-13,93329.21871
2011-03-14,93331.06915
2011-03-15,93335.09958
2011-03-16,93297.35332
2011-03-17,92928.30459
2011-03-18,93026.89141
2011-03-19,93244.77304
2011-03-20,93268.87939
2011-03-21,93272.80135
2011-03-22,93807.29824
2011-03-23,93905.52438
2011-03-24,93971.66105
2011-03-25,94044.10272
2011-03-26,93832.40279
2011-03-27,93827.458
2011-03-28,93829.87101
2011-03-29,94370.8536
2011-03-30,94448.05637
2011-03-31,94653.60378
2011-04-01,94748.70053
2011-04-02,94650.25923
2011-04-03,94647.05961
2011-04-04,94644.21383
2011-04-05,94527.56458
2011-04-06,94608.88811
2011-04-07,94605.41406
2011-04-08,94709.64649
2011-04-09,94822.52668
2011-04-10,94826.39937
2011-04-11,94831.50097
2011-04-12,94956.80254
2011-04-13,94960.29664
2011-04-14,95020.92896
2011-04-15,95381.18898
2011-04-16,95365.0207
2011-04-17,95368.30625
2011-04-18,95368.6527
2011-04-19,95246.49381
2011-04-20,95418.57928
2011-04-21,95500.45016
2011-04-22,95620.22583
2011-04-23,95623.12664
2011-04-24,95621.72339
2011-04-25,95622.78149
2011-04-26,95776.68109
2011-04-27,95111.03163
2011-04-28,95152.69532
2011-04-29,95297.22483
2011-04-30,95004.45704
2011-05-01,95121.7966
2011-05-02,95124.0956
2011-05-03,95240.8939
2011-05-04,95294.80199
2011-05-05,95453.05242
2011-05-06,95685.73433
2011-05-07,96025.34451
2011-05-08,96031.71383
2011-05-09,96034.65076
2011-05-10,96304.7459
2011-05-11,96689.37582
2011-05-12,96912.34888
2011-05-13,97294.16271
2011-05-14,97534.78111
2011-05-15,97554.97737
2011-05-16,97558.96237
2011-05-17,97955.51429
2011-05-18,98173.73868
2011-05-19,98390.97251
2011-05-20,99147.07421
2011-05-21,99536.54374
2011-05-22,99563.87224
2011-05-23,99563.03712
2011-05-24,99565.64933
2011-05-25,100056.8446
2011-05-26,100802.8466
2011-05-27,101189.9369
2011-05-28,101616.0258
2011-05-29,101656.7628
2011-05-30,101664.5908
2011-05-31,102049.6989
2011-06-01,102764.4457
2011-06-02,103334.8563
2011-06-03,104596.2871
2011-06-04,105267.1479
2011-06-05,105331.45
2011-06-06,105331.9624
2011-06-07,107421.8398
2011-06-08,107794.6956
2011-06-09,108042.8163
2011-06-10,108365.8096
2011-06-11,108928.4985
2011-06-12,108954.7966
2011-06-13,108953.2407
2011-06-14,109400.187
2011-06-15,109844.6431
2011-06-16,110254.4111
2011-06-17,111036.86
2011-06-18,111520.4881
2011-06-19,111525.8501
2011-06-20,111533.2855
2011-06-21,111867.5832
2011-06-22,113134.4758
2011-06-23,113424.4606
2011-06-24,113559.2247
2011-06-25,114360.6527
2011-06-26,114497.0793
2011-06-27,114498.3641
2011-06-28,115530.8409
2011-06-29,116759.7585
2011-06-30,120039.8024
2011-07-01,120940.1126
2011-07-02,120962.2971
2011-07-03,121563.2712
2011-07-04,121564.1054
2011-07-05,123131.8622
2011-07-06,124462.0697
2011-07-07,126135.9542
2011-07-08,127064.6259
2011-07-09,127892.9967
2011-07-10,127910.5407
2011-07-11,127915.577
2011-07-12,128437.1911
2011-07-13,128914.697
2011-07-14,128904.7008
2011-07-15,129007.9128
2011-07-16,129553.4505
2011-07-17,129550.3504
2011-07-18,129541.9663
2011-07-19,129888.2299
2011-07-20,129757.3521
2011-07-21,129634.3424
2011-07-22,129363.388
2011-07-23,128724.379
2011-07-24,128601.8437
2011-07-25,128589.0717
2011-07-26,127854.4568
2011-07-27,127055.7749
2011-07-28,126137.6298
2011-07-29,125184.7838
2011-07-30,123738.7722
2011-07-31,123723.2451
2011-08-01,123721.1389
2011-08-02,123720.4352
2011-08-03,122760.7044
2011-08-04,121690.8823
2011-08-05,120757.3289
2011-08-06,120142.891
2011-08-07,120020.0878
2011-08-08,119999.3146
2011-08-09,119219.8881
2011-08-10,118509.0077
2011-08-11,117985.6101
2011-08-12,117071.1531
2011-08-13,116838.4246
2011-08-14,116813.7901
2011-08-15,116809.2508
2011-08-16,116437.5716
2011-08-17,115843.7032
2011-08-18,115498.6331
2011-08-19,115072.466
2011-08-20,114591.8322
2011-08-21,114573.8331
2011-08-22,114573.905
2011-08-23,114144.1737
2011-08-24,113614.8658
2011-08-25,112931.6215
2011-08-26,113003.0399
2011-08-27,112502.4485
2011-08-28,112496.9876
2011-08-29,112494.9057
2011-08-30,112226.8534
2011-08-31,111961.3313
2011-09-01,109690.6311
2011-09-02,108910.3541
2011-09-03,108810.147
2011-09-04,108806.2489
2011-09-05,108807.1774
2011-09-06,108796.7489
2011-09-07,106621.8172
2011-09-08,105924.5817
2011-09-09,105672.7065
2011-09-10,105183.1947
2011-09-11,105166.7843
2011-09-12,105168.2154
2011-09-13,105208.4939
2011-09-14,104959.6943
2011-09-15,104497.2603
2011-09-16,104012.6724
2011-09-17,103887.8534
2011-09-18,103889.0868
2011-09-19,103892.8034
2011-09-20,103769.1824
2011-09-21,102767.5074
2011-09-22,102220.0244
2011-09-23,101924.0082
2011-09-24,101501.8606
2011-09-25,101501.0821
2011-09-26,101502.3233
2011-09-27,101411.1605
2011-09-28,100893.5611
2011-09-29,100616.0131
2011-09-30,100422.459
2011-10-01,100391.339
2011-10-02,100086.2183
2011-10-03,100088.1928
2011-10-04,99678.3372
2011-10-05,99220.9043
2011-10-06,98669.29095
2011-10-07,98501.77849
2011-10-08,98092.41532
2011-10-09,98074.78982
2011-10-10,98075.72633
2011-10-11,98078.59929
2011-10-12,97923.43627
2011-10-13,97698.25472
2011-10-14,97523.69422
2011-10-15,97385.00439
2011-10-16,97392.8947
2011-10-17,97392.44205
2011-10-18,97174.9272
2011-10-19,96864.47661
2011-10-20,96740.52411
2011-10-21,96349.06732
2011-10-22,96155.57064
2011-10-23,96161.09982
2011-10-24,96161.57871
2011-10-25,96035.38344
2011-10-26,95990.62257
2011-10-27,95853.24186
2011-10-28,95743.06329
2011-10-29,95714.54642
2011-10-30,95717.41318
2011-10-31,95716.97579
2011-11-01,95610.93975
2011-11-02,95406.60328
2011-11-03,95165.11266
2011-11-04,95073.97071
2011-11-05,95026.39282
2011-11-06,95024.68225
2011-11-07,95038.86775
2011-11-08,94749.35717
2011-11-09,94692.1818
2011-11-10,94684.8118
2011-11-11,94638.60997
2011-11-12,94671.98526
2011-11-13,94676.57373
2011-11-14,94724.13745
2011-11-15,94491.88769
2011-11-16,94418.48636
2011-11-17,94150.78238
2011-11-18,94054.96801
2011-11-19,94046.85523
2011-11-20,94047.91911
2011-11-21,94046.91328
2011-11-22,93973.07583
2011-11-23,93923.1818
2011-11-24,93588.46468
2011-11-25,93672.86933
2011-11-26,93360.12812
2011-11-27,93360.12812
2011-11-28,93363.68306
2011-11-29,93283.09831
2011-11-30,93122.69898
2011-12-01,93356.90546
2011-12-02,93098.82484
2011-12-03,92998.93022
2011-12-04,93000.7642
2011-12-05,93001.82211
2011-12-06,92543.78301
2011-12-07,92217.92149
2011-12-08,92208.59448
2011-12-09,92141.80298
2011-12-10,92097.03201
2011-12-11,92099.3776
2011-12-12,92100.97817
2011-12-13,92049.85339
2011-12-14,92048.26278
2011-12-15,91716.60798
2011-12-16,91681.82509
2011-12-17,91574.99086
2011-12-18,91578.65992
2011-12-19,91577.61665
2011-12-20,91352.10042
2011-12-21,91375.13479
2011-12-22,91406.26258
2011-12-23,91314.10448
2011-12-24,91052.70215
2011-12-25,91054.42995
2011-12-26,91054.30459
2011-12-27,91054.54493
2011-12-28,91055.93463
2011-12-29,91052.88969
2011-12-30,91019.30103
2011-12-31,91256.38626
2012-01-01,91259.34019
2012-01-02,91260.84293
2012-01-03,91259.96716
2012-01-04,91364.42334
2012-01-05,91577.62226
2012-01-06,91689.258
2012-01-07,91869.74454
2012-01-08,91870.79161
2012-01-09,91873.15794
2012-01-10,91806.94409
2012-01-11,91778.48234
2012-01-12,91918.63839
2012-01-13,91873.21388
2012-01-14,91892.01316
2012-01-15,91893.77339
2012-01-16,91893.41509
2012-01-17,91890.5461
2012-01-18,92051.57577
2012-01-19,92048.36856
2012-01-20,92320.12243
2012-01-21,92422.49077
2012-01-22,92404.86306
2012-01-23,92408.15144
2012-01-24,92316.49025
2012-01-25,92277.71715
2012-01-26,92209.1276
2012-01-27,92263.39816
2012-01-28,92157.95877
2012-01-29,92165.44005
2012-01-30,92165.4786
2012-01-31,92075.20161
2012-02-01,91779.06165
2012-02-02,91579.23217
2012-02-03,91396.2191
2012-02-04,91335.70957
2012-02-05,91343.5422
2012-02-06,91344.26134
2012-02-07,91232.49395
2012-02-08,91200.6347
2012-02-09,91561.7795
2012-02-10,91564.13095
2012-02-11,91599.83413
2012-02-12,91600.25112
2012-02-13,91601.50609
2012-02-14,91542.47339
2012-02-15,91495.50006
2012-02-16,91382.46338
2012-02-17,91346.86652
2012-02-18,91133.67392
2012-02-19,91142.81249
2012-02-20,91142.93864
2012-02-21,91133.97017
2012-02-22,91152.90652
2012-02-23,91176.05019
2012-02-24,91115.94366
2012-02-25,91060.02579
2012-02-26,91057.19928
2012-02-27,91059.37728
2012-02-28,90876.88377
2012-02-29,90850.27962
2012-03-01,90848.62386
2012-03-02,90845.3493
2012-03-03,90856.7054
2012-03-04,90809.92313
2012-03-05,90820.74468
2012-03-06,90719.8663
2012-03-07,90832.95179
2012-03-08,90855.20446
2012-03-09,90857.26815
2012-03-10,90811.7588
2012-03-11,90820.3989
2012-03-12,90838.01342
2012-03-13,90951.78472
2012-03-14,91074.02691
2012-03-15,91227.33521
2012-03-16,91281.14407
2012-03-17,91317.88447
2012-03-18,91321.83547
2012-03-19,91324.89472
2012-03-20,91806.54232
2012-03-21,91887.38296
2012-03-22,92039.81477
2012-03-23,92051.83789
2012-03-24,92135.43485
2012-03-25,92138.0961
2012-03-26,92140.64845
2012-03-27,92151.49038
2012-03-28,92139.22156
2012-03-29,92330.18982
2012-03-30,92403.53496
2012-03-31,92616.39754
2012-04-01,92867.64222
2012-04-02,92869.18951
2012-04-03,92846.21313
2012-04-04,93309.57898
2012-04-05,93222.54169
2012-04-06,93535.21372
2012-04-07,93542.09756
2012-04-08,93570.55105
2012-04-09,93570.75138
2012-04-10,93718.11823
2012-04-11,93896.51238
2012-04-12,93532.99497
2012-04-13,93607.07328
2012-04-14,93669.53519
2012-04-15,93672.65796
2012-04-16,93690.96861
2012-04-17,93801.45674
2012-04-18,93981.39212
2012-04-19,94299.1047
2012-04-20,94562.32975
2012-04-21,94696.53788
2012-04-22,94805.10755
2012-04-23,94807.59683
2012-04-24,94886.2322
2012-04-25,95199.62993
2012-04-26,95804.19174
2012-04-27,96456.37829
2012-04-28,96801.63924
2012-04-29,97119.78097
2012-04-30,97126.53054
2012-05-01,97469.90487
2012-05-02,97891.8336
2012-05-03,99032.39566
2012-05-04,99771.16528
2012-05-05,100388.3051
2012-05-06,100697.6772
2012-05-07,100706.7059
2012-05-08,101472.8165
2012-05-09,102327.2395
2012-05-10,103160.8008
2012-05-11,103652.391
2012-05-12,104232.2962
2012-05-13,104236.4815
2012-05-14,104241.8489
